request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,Pay IDR 15656000.00 in full while preserving the IDR 24768300.00 minimum balance.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Pay ZAR 6670.00 in full while preserving the ZAR 20500.00 minimum balance.
request_28,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_29,25122.37,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 25122.37 is safe today and no eligible plan completes the request safely.
request_30,268.74,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the USD 900.00 minimum balance.
request_31,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_32,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_33,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_34,127128.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 127128.00 is safe today and no eligible plan completes the request safely.
request_35,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_36,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_37,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_38,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_39,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_40,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_41,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_42,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_43,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_44,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_45,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_46,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_47,19044355.32,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 19044355.32 is safe today and no eligible plan completes the request safely.
request_48,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_49,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_50,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,Pay IDR 2191000.00 in full while preserving the IDR 7811000.00 minimum balance.
request_52,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_53,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_54,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_55,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_56,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_57,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_58,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_59,48741.33,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the INR 132600.00 minimum balance.
request_60,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_61,10074.83,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the ZAR 36700.00 minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 in full while preserving the USD 1300.00 minimum balance.
request_63,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_64,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_65,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,Pay INR 22200.00 in full while preserving the INR 80700.00 minimum balance.
request_67,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_68,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_69,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_70,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_71,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_72,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_73,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,Pay ZAR 5010.00 in full while preserving the ZAR 21900.00 minimum balance.
request_75,9800.27,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the ZAR 39000.00 minimum balance.
request_76,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_77,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
